scenario,num_uavs,seed,episode,episode_coverage,episode_conflict_sim,episode_conflict_recomputed_120,conflict_events_120,pair_steps,episode_path,corrections,uav_steps,accepted,cva,fallback_nearest,raw_released,max_empty_streak,n_empty_streaks_ge2
plain,4,46,5,100.0,0.0,0.0,0,132,11646.06640625,0,140,88,0,0,0,0,0
plain,4,46,6,96.66666666666667,0.0,0.0,0,210,18339.681640625,0,140,140,0,0,0,0,0
plain,4,46,7,88.33333333333333,0.0,0.0,0,210,18232.138671875,0,140,140,0,0,0,0,0
plain,4,46,8,91.66666666666666,0.0,0.0,0,210,18290.70703125,0,140,140,0,0,0,0,0
plain,4,46,9,90.0,0.0,0.0,0,210,18270.849609375,2,140,138,0,2,0,1,0
plain,4,46,10,93.33333333333333,0.0,0.0,0,210,18517.673828125,0,140,140,0,0,0,0,0
plain,4,46,11,100.0,0.0,0.0,0,210,18232.1796875,14,140,126,14,0,0,0,0
plain,6,42,0,100.0,0.0,0.0,0,510,26083.345703125,2,210,202,0,2,0,1,0
plain,6,42,1,96.66666666666667,0.0,0.0,0,525,26925.96875,6,210,204,6,0,0,0,0
plain,6,42,2,100.0,0.0,0.0,0,525,27005.841796875,0,210,210,0,0,0,0,0
plain,6,42,3,100.0,0.0,0.0,0,480,24674.78125,2,210,190,2,0,0,0,0
plain,6,42,4,100.0,0.0,0.0,0,465,24313.759765625,0,210,186,0,0,0,0,0
plain,6,42,5,100.0,0.0,0.0,0,270,14299.3046875,0,210,108,0,0,0,0,0
plain,6,42,6,100.0,0.0,0.0,0,390,20342.45703125,0,210,156,0,0,0,0,0
plain,6,42,7,100.0,0.0,0.0,0,375,19391.9765625,0,210,150,0,0,0,0,0
plain,6,42,8,100.0,0.0,0.0,0,375,19362.61328125,6,210,144,5,1,0,1,0
plain,6,42,9,100.0,0.0,0.0,0,420,21679.53515625,10,210,158,10,0,0,0,0
plain,6,42,10,100.0,0.0,0.0,0,450,23425.130859375,0,210,180,0,0,0,0,0
plain,6,42,11,100.0,0.0,0.0,0,465,24149.296875,0,210,186,0,0,0,0,0
plain,6,43,0,100.0,0.0,0.0,0,510,26521.185546875,2,210,202,2,0,0,0,0
plain,6,43,1,100.0,0.0,0.0,0,345,18010.798828125,0,210,138,0,0,0,0,0
plain,6,43,2,100.0,0.0,0.0,0,330,17219.73828125,12,210,120,12,0,0,0,0
plain,6,43,3,100.0,0.0,0.0,0,450,23424.333984375,14,210,166,14,0,0,0,0
plain,6,43,4,100.0,0.0,0.0,0,330,17582.05078125,0,210,132,0,0,0,0,0
plain,6,43,5,100.0,0.0,0.0,0,360,15592.6806640625,0,210,120,0,0,24,24,1
plain,6,43,6,100.0,0.0,0.0,0,405,20892.642578125,0,210,162,0,0,0,0,0
plain,6,43,7,100.0,0.0,0.0,0,360,18923.29296875,0,210,144,0,0,0,0,0
plain,6,43,8,96.66666666666667,0.0,0.0,0,525,27274.294921875,0,210,210,0,0,0,0,0
plain,6,43,9,100.0,0.0,0.0,0,315,16736.599609375,0,210,126,0,0,0,0,0
plain,6,43,10,100.0,0.0,0.0,0,360,18691.279296875,4,210,140,4,0,0,0,0
plain,6,43,11,100.0,0.0,0.0,0,465,23972.43359375,0,210,186,0,0,0,0,0
plain,6,44,0,100.0,0.0,0.0,0,300,15922.4501953125,0,210,120,0,0,0,0,0
plain,6,44,1,100.0,0.0,0.0,0,360,18732.4375,0,210,144,0,0,0,0,0
plain,6,44,2,100.0,0.0,0.0,0,345,18343.474609375,0,210,138,0,0,0,0,0
plain,6,44,3,98.33333333333333,0.0,0.0,0,525,26638.0625,0,210,210,0,0,0,0,0
plain,6,44,4,97.14285714285714,0.0,0.0,0,525,27030.4921875,8,210,202,8,0,0,0,0
plain,6,44,5,95.55555555555556,0.0,0.0,0,525,26808.76171875,2,210,208,2,0,0,0,0
plain,6,44,6,100.0,0.0,0.0,0,315,16435.224609375,0,210,126,0,0,0,0,0
plain,6,44,7,100.0,0.0,0.0,0,390,20193.783203125,0,210,156,0,0,0,0,0
plain,6,44,8,100.0,0.0,0.0,0,315,16563.423828125,0,210,126,0,0,0,0,0
plain,6,44,9,100.0,0.0,0.0,0,375,19698.1015625,8,210,142,8,0,0,0,0
plain,6,44,10,100.0,0.0,0.0,0,450,23475.5234375,0,210,180,0,0,0,0,0
plain,6,44,11,100.0,0.0,0.0,0,330,17174.880859375,0,210,132,0,0,0,0,0
plain,6,45,0,97.14285714285714,0.0,0.0,0,525,26665.06640625,10,210,200,9,1,0,1,0
plain,6,45,1,100.0,0.0,0.0,0,330,17249.48046875,0,210,132,0,0,0,0,0
plain,6,45,2,96.66666666666667,0.0,0.0,0,525,26783.70703125,10,210,200,8,2,0,1,0
plain,6,45,3,100.0,0.0,0.0,0,480,24723.546875,2,210,190,2,0,0,0,0
plain,6,45,4,100.0,0.0,0.0,0,360,18935.533203125,4,210,140,4,0,0,0,0
plain,6,45,5,96.66666666666667,0.0,0.0,0,525,27218.55078125,2,210,208,2,0,0,0,0
plain,6,45,6,100.0,0.0,0.0,0,300,15659.095703125,0,210,120,0,0,0,0,0
plain,6,45,7,100.0,0.0,0.0,0,405,20852.35546875,0,210,162,0,0,0,0,0
