target_map,seed,episode,coverage,conflict_rate,reward,path_length,seed_trained
plain,42,0,75.0,0.0,71.13747109282474,10007.7626953125,2026
plain,42,1,85.0,0.0,75.31598788899299,12963.0869140625,2026
plain,42,2,85.0,0.0,77.28013297011124,12234.74609375,2026
plain,42,3,68.88888888888889,0.013333333333333334,65.45348285722407,9783.21484375,2026
plain,42,4,71.42857142857143,0.0,61.76347461430952,10411.94921875,2026
plain,42,5,82.22222222222221,0.0,74.92269163023002,9757.6494140625,2026
plain,42,6,66.66666666666666,0.0,59.01624222562368,10923.326171875,2026
plain,42,7,73.33333333333333,0.0,70.86303937751084,11492.53125,2026
plain,42,8,73.33333333333333,0.0,69.39924308419218,11807.0869140625,2026
plain,42,9,82.85714285714286,0.013333333333333334,73.97187071640731,11512.265625,2026
plain,42,10,82.22222222222221,0.0,65.29820927647198,11748.8203125,2026
plain,42,11,82.22222222222221,0.0,74.60441138181739,12634.3447265625,2026
plain,43,0,60.0,0.0038095238095238095,48.349402499907164,11968.4326171875,2026
plain,43,1,85.0,0.0,83.0554296680672,9922.8642578125,2026
plain,43,2,91.42857142857143,0.0,81.30130788013854,12167.3857421875,2026
plain,43,3,81.66666666666667,0.0,68.58403610421223,13111.3603515625,2026
plain,43,4,80.0,0.0,64.99922665657023,12047.4853515625,2026
plain,43,5,70.0,0.0,59.3747239645551,8143.96435546875,2026
plain,43,6,94.28571428571428,0.0,86.0296510072082,11430.3125,2026
plain,43,7,68.33333333333333,0.0,64.23649122189731,10237.748046875,2026
plain,43,8,73.33333333333333,0.017142857142857144,53.94698060384598,10781.802734375,2026
plain,43,9,62.857142857142854,0.0,57.006360783151905,11074.6962890625,2026
plain,43,10,75.0,0.0,64.04058221924218,8869.0751953125,2026
plain,43,11,80.0,0.03238095238095238,72.11536819032506,12790.94921875,2026
plain,44,0,85.71428571428571,0.0,75.02519298089635,11624.837890625,2026
plain,44,1,82.22222222222221,0.0,79.28418970118983,11187.5927734375,2026
plain,44,2,85.71428571428571,0.0,77.11150491262674,14633.6259765625,2026
plain,44,3,76.66666666666667,0.0,73.49677180545646,10142.75390625,2026
plain,44,4,74.28571428571429,0.0,67.43467426878867,11352.083984375,2026
plain,44,5,88.88888888888889,0.0,84.11227489573099,12713.841796875,2026
plain,44,6,94.28571428571428,0.0,88.31950026924937,10980.6533203125,2026
plain,44,7,78.33333333333333,0.0,69.26522809628605,11834.494140625,2026
plain,44,8,80.0,0.0,68.97024535215034,11733.044921875,2026
plain,44,9,85.71428571428571,0.0,71.38258389132028,11702.7958984375,2026
plain,44,10,60.0,0.017142857142857144,49.18925466578396,9764.8056640625,2026
plain,44,11,73.33333333333333,0.0,74.66397424599838,10657.173828125,2026
plain,45,0,68.57142857142857,0.0038095238095238095,62.501469092955894,10497.2685546875,2026
plain,45,1,86.66666666666667,0.0,84.64093965578668,11674.50390625,2026
plain,45,2,73.33333333333333,0.01904761904761905,53.953620544752916,11930.80859375,2026
plain,45,3,68.33333333333333,0.0,65.87862152044893,11102.2392578125,2026
plain,45,4,76.66666666666667,0.0,67.96325854250718,11139.9638671875,2026
plain,45,5,66.66666666666666,0.0,49.8207662915213,11852.626953125,2026
plain,45,6,91.11111111111111,0.0,81.64640127105044,10803.7880859375,2026
plain,45,7,80.0,0.0,71.25487130312217,10498.2109375,2026
plain,45,8,57.77777777777777,0.0,47.20766224851913,10559.8623046875,2026
plain,45,9,73.33333333333333,0.0,64.22729745345981,12795.5595703125,2026
plain,45,10,86.66666666666667,0.0,84.49943250759601,11443.916015625,2026
plain,45,11,58.333333333333336,0.005714285714285714,47.521161906508326,10191.1015625,2026
plain,46,0,90.0,0.0,75.09219726046803,11626.20703125,2026
plain,46,1,94.28571428571428,0.0,84.30730679095115,10877.6220703125,2026
plain,46,2,86.66666666666667,0.0,83.26363401308738,11907.5634765625,2026
plain,46,3,85.71428571428571,0.0038095238095238095,80.82291317819488,11940.4345703125,2026
plain,46,4,80.0,0.0,68.6254276600975,11228.587890625,2026
plain,46,5,74.28571428571429,0.017142857142857144,61.574103448439104,12282.689453125,2026
plain,46,6,60.0,0.0,53.53083670207997,9926.9736328125,2026
plain,46,7,91.42857142857143,0.0,90.96369343929825,11268.5810546875,2026
plain,46,8,82.85714285714286,0.007619047619047619,77.6372448474208,13420.7509765625,2026
plain,46,9,82.85714285714286,0.005714285714285714,67.03019727299686,11999.77734375,2026
plain,46,10,65.0,0.0,54.91794568003965,10965.328125,2026
plain,46,11,85.71428571428571,0.0,84.43630906325353,11038.2587890625,2026
urban,42,0,60.0,0.0,58.11541193286013,10310.140625,2026
urban,42,1,86.66666666666667,0.0,67.20876667885736,11075.91015625,2026
urban,42,2,71.66666666666667,0.0,58.41748156707343,11720.375,2026
urban,42,3,66.66666666666666,0.0019047619047619048,65.60171701251453,10197.09765625,2026
urban,42,4,75.55555555555556,0.0,66.03743353361611,10499.77734375,2026
urban,42,5,78.33333333333333,0.0,76.49260901948122,12075.1357421875,2026
urban,42,6,82.85714285714286,0.0,80.58748602457771,11263.373046875,2026
urban,42,7,80.0,0.0019047619047619048,80.07309572459776,11633.8125,2026
urban,42,8,81.66666666666667,0.0,74.9947546732405,12122.2548828125,2026
urban,42,9,84.44444444444444,0.0,77.32986928404961,11192.8212890625,2026
urban,42,10,77.14285714285715,0.0,64.45400685566733,10990.5634765625,2026
urban,42,11,85.71428571428571,0.0,85.52117890274347,12108.6884765625,2026
urban,43,0,80.0,0.0,74.25933513952862,11091.2353515625,2026
urban,43,1,80.0,0.0,70.54219784076373,13131.21875,2026
urban,43,2,64.44444444444444,0.0,55.61078810832126,11036.841796875,2026
urban,43,3,95.55555555555556,0.0,89.29047369172275,13201.173828125,2026
urban,43,4,82.85714285714286,0.0,73.65512657312495,11466.96875,2026
urban,43,5,83.33333333333334,0.0,79.93177037051541,9848.8623046875,2026
urban,43,6,94.28571428571428,0.0,91.6533299244028,14547.517578125,2026
urban,43,7,80.0,0.0,69.26728876241943,11604.578125,2026
urban,43,8,64.44444444444444,0.011428571428571429,53.73318708968779,10417.291015625,2026
urban,43,9,48.333333333333336,0.013333333333333334,39.159625460734944,10724.873046875,2026
urban,43,10,73.33333333333333,0.0,61.708943269745745,11554.6376953125,2026
urban,43,11,80.0,0.03428571428571429,68.48019989662615,10291.015625,2026
urban,44,0,80.0,0.0,79.59306057329105,11335.296875,2026
urban,44,1,70.0,0.0,63.95289945772521,11255.57421875,2026
urban,44,2,88.57142857142857,0.0,74.62516153450083,11948.9912109375,2026
urban,44,3,75.55555555555556,0.0,71.62939286692553,11986.3232421875,2026
urban,44,4,80.0,0.0,73.47386876092315,12627.6259765625,2026
urban,44,5,85.71428571428571,0.0,82.29895486014958,10183.900390625,2026
urban,44,6,82.22222222222221,0.0,81.80326299625732,12524.732421875,2026
urban,44,7,85.71428571428571,0.0,79.57411658464972,12650.4404296875,2026
urban,44,8,82.85714285714286,0.0,77.4880348859561,11176.3623046875,2026
urban,44,9,75.55555555555556,0.0,66.71623470107866,12906.5556640625,2026
urban,44,10,82.85714285714286,0.0,74.06501836311486,10522.1767578125,2026
urban,44,11,66.66666666666666,0.0,50.80660245450949,9785.1240234375,2026
urban,45,0,94.28571428571428,0.0,78.09627636554096,11556.24609375,2026
urban,45,1,85.0,0.0,74.75677009350899,14518.80859375,2026
urban,45,2,71.42857142857143,0.0,61.25887528280523,11536.89453125,2026
urban,45,3,77.14285714285715,0.0,67.38386256729225,11548.376953125,2026
urban,45,4,80.0,0.0,61.06653390506602,11228.1142578125,2026
urban,45,5,100.0,0.0,74.34978487470082,12405.314453125,2026
urban,45,6,57.14285714285714,0.0,52.119459487894595,11396.0625,2026
urban,45,7,80.0,0.0,70.3147226657598,12383.146484375,2026
urban,45,8,84.44444444444444,0.0,84.34015446773304,11496.94140625,2026
urban,45,9,62.22222222222222,0.0,58.414281756844154,10837.88671875,2026
urban,45,10,80.0,0.0,66.06606388354406,12373.46875,2026
urban,45,11,94.28571428571428,0.0,91.10139546153765,14009.3662109375,2026
urban,46,0,91.42857142857143,0.0,79.28656737032907,11132.0947265625,2026
urban,46,1,78.33333333333333,0.0,66.82086185047419,12395.90234375,2026
urban,46,2,85.71428571428571,0.0,79.26021831717253,10817.3486328125,2026
urban,46,3,75.55555555555556,0.0,73.37464994300205,11656.896484375,2026
urban,46,4,82.85714285714286,0.0,83.29822493366215,10697.6357421875,2026
urban,46,5,71.11111111111111,0.005714285714285714,65.51741130330852,12465.248046875,2026
urban,46,6,83.33333333333334,0.005714285714285714,74.41087968062618,10256.2978515625,2026
urban,46,7,82.85714285714286,0.0,76.56854107857696,11529.8603515625,2026
urban,46,8,88.57142857142857,0.0,78.88662734910731,12335.939453125,2026
urban,46,9,80.0,0.0,75.58457598201326,11188.1064453125,2026
urban,46,10,94.28571428571428,0.0,77.29672396556367,12830.451171875,2026
urban,46,11,74.28571428571429,0.04380952380952381,73.26224134535076,11510.666015625,2026
mountain,42,0,88.33333333333333,0.0,81.26514350005152,12452.69140625,2026
mountain,42,1,74.28571428571429,0.0,65.418077857871,11269.4921875,2026
mountain,42,2,63.33333333333333,0.0,59.01881207544164,10155.033203125,2026
mountain,42,3,68.33333333333333,0.0,59.551186246806836,10438.1044921875,2026
mountain,42,4,82.85714285714286,0.0,73.84015996822738,12723.21484375,2026
mountain,42,5,77.77777777777779,0.0,75.33624561551105,11649.623046875,2026
mountain,42,6,73.33333333333333,0.0,64.50544453274297,10987.63671875,2026
